component,value,os,priority,hardware,version,component,severity,assignee,product,status,total
robotml,avg,0,0,0,0,0,0,0,0,0,31
robotml,min,0,0,0,0,0,0,0,0,0,31
robotml,max,0,0,0,0,0,0,0,0,0,31
connectors,avg,0,0,0,0,0,0,0,0,0,649
connectors,min,0,0,0,0,0,0,0,0,0,649
connectors,max,0,0,0,0,0,0,0,0,0,649
rcp,avg,0,0,0,0,0,0,0,0,0,6
rcp,min,0,0,0,0,0,0,0,0,0,6
rcp,max,0,0,0,0,0,0,0,0,0,6
hmi,avg,0,0,0,0,0,0,0,0,0,23
hmi,min,0,0,0,0,0,0,0,0,0,23
hmi,max,0,0,0,0,0,0,0,0,0,23
package,avg,0,0,0,0,0,0,0,0,0,26
package,min,0,0,0,0,0,0,0,0,0,26
package,max,0,0,0,0,0,0,0,0,0,26
plugins,avg,0,0,0,0,0,0,0,0,0,320
plugins,min,0,0,0,0,0,0,0,0,0,320
plugins,max,0,0,0,0,0,0,0,0,0,320
releng,avg,0,0,0,0,0,0,0,0,0,71
releng,min,0,0,0,0,0,0,0,0,0,71
releng,max,0,0,0,0,0,0,0,0,0,71
tablecombo,avg,0,0,0,0,0,0,0,0,0,27
tablecombo,min,0,0,0,0,0,0,0,0,0,27
tablecombo,max,0,0,0,0,0,0,0,0,0,27
lib,avg,0,0,0,0,0,0,0,0,0,8
lib,min,0,0,0,0,0,0,0,0,0,8
lib,max,0,0,0,0,0,0,0,0,0,8
ios,avg,0,0,0,0,0,0,0,0,0,10
ios,min,0,0,0,0,0,0,0,0,0,10
ios,max,0,0,0,0,0,0,0,0,0,10
remote,avg,0,0,0,0,0,0,0,0,0,58
remote,min,0,0,0,0,0,0,0,0,0,58
remote,max,0,0,0,0,0,0,0,0,0,58
moxy,avg,0,0,0,0,0,0,0,0,0,900
moxy,min,0,0,0,0,0,0,0,0,0,900
moxy,max,0,0,0,0,0,0,0,0,0,900
reportdesigner,avg,0,0,0,0,0,0,0,0,0,3888
reportdesigner,min,0,0,0,0,0,0,0,0,0,3888
reportdesigner,max,0,0,0,0,0,0,0,0,0,3888
dev,avg,0,0,0,0,0,0,0,0,0,5
dev,min,0,0,0,0,0,0,0,0,0,5
dev,max,0,0,0,0,0,0,0,0,0,5
oseetestenvironment(ote),avg,0,0,0,0,0,0,0,0,0,14
oseetestenvironment(ote),min,0,0,0,0,0,0,0,0,0,14
oseetestenvironment(ote),max,0,0,0,0,0,0,0,0,0,14
xml,avg,0,0,0,0,0,0,0,0,0,96
xml,min,0,0,0,0,0,0,0,0,0,96
xml,max,0,0,0,0,0,0,0,0,0,96
sci,avg,0,0,0,0,0,0,0,0,0,10
sci,min,0,0,0,0,0,0,0,0,0,10
sci,max,0,0,0,0,0,0,0,0,0,10
jstools,avg,0,0,0,0,0,0,0,0,0,720
jstools,min,0,0,0,0,0,0,0,0,0,720
jstools,max,0,0,0,0,0,0,0,0,0,720
usagedatacollector,avg,0,0,0,0,0,0,0,0,0,161
usagedatacollector,min,0,0,0,0,0,0,0,0,0,161
usagedatacollector,max,0,0,0,0,0,0,0,0,0,161
applicationtypes,avg,0,0,0,0,0,0,0,0,0,2
applicationtypes,min,0,0,0,0,0,0,0,0,0,2
applicationtypes,max,0,0,0,0,0,0,0,0,0,2
nav,avg,0,0,0,0,0,0,0,0,0,109
nav,min,0,0,0,0,0,0,0,0,0,109
nav,max,0,0,0,0,0,0,0,0,0,109
cda,avg,0,0,0,0,0,0,0,0,0,11
cda,min,0,0,0,0,0,0,0,0,0,11
cda,max,0,0,0,0,0,0,0,0,0,11
ide,avg,0,0,0,0,0,0,0,0,0,347
ide,min,0,0,0,0,0,0,0,0,0,347
ide,max,0,0,0,0,0,0,0,0,0,347
cola,avg,0,0,0,0,0,0,0,0,0,43
cola,min,0,0,0,0,0,0,0,0,0,43
cola,max,0,0,0,0,0,0,0,0,0,43
eswt,avg,0,0,0,0,0,0,0,0,0,487
eswt,min,0,0,0,0,0,0,0,0,0,487
eswt,max,0,0,0,0,0,0,0,0,0,487
wiki,avg,0,0,0,0,0,0,0,0,0,2
wiki,min,0,0,0,0,0,0,0,0,0,2
wiki,max,0,0,0,0,0,0,0,0,0,2
documentation,avg,0,0,0,0,0,0,0,0,0,978
documentation,min,0,0,0,0,0,0,0,0,0,978
documentation,max,0,0,0,0,0,0,0,0,0,978
ai,avg,0,0,0,0,0,0,0,0,0,804
ai,min,0,0,0,0,0,0,0,0,0,804
ai,max,0,0,0,0,0,0,0,0,0,804
revisiongraph,avg,0,0,0,0,0,0,0,0,0,65
revisiongraph,min,0,0,0,0,0,0,0,0,0,65
revisiongraph,max,0,0,0,0,0,0,0,0,0,65
calendarcombo,avg,0,0,0,0,0,0,0,0,0,78
calendarcombo,min,0,0,0,0,0,0,0,0,0,78
calendarcombo,max,0,0,0,0,0,0,0,0,0,78
cdi,avg,0,0,0,0,0,0,0,0,0,5
cdi,min,0,0,0,0,0,0,0,0,0,5
cdi,max,0,0,0,0,0,0,0,0,0,5
analysis,avg,0,0,0,0,0,0,0,0,0,9
analysis,min,0,0,0,0,0,0,0,0,0,9
analysis,max,0,0,0,0,0,0,0,0,0,9
packages,avg,0,0,0,0,0,0,0,0,0,31
packages,min,0,0,0,0,0,0,0,0,0,31
packages,max,0,0,0,0,0,0,0,0,0,31
picturecontrol,avg,0,0,0,0,0,0,0,0,0,4
picturecontrol,min,0,0,0,0,0,0,0,0,0,4
picturecontrol,max,0,0,0,0,0,0,0,0,0,4
packager,avg,0,0,0,0,0,0,0,0,0,163
packager,min,0,0,0,0,0,0,0,0,0,163
packager,max,0,0,0,0,0,0,0,0,0,163
proxy,avg,0,0,0,0,0,0,0,0,0,25
proxy,min,0,0,0,0,0,0,0,0,0,25
proxy,max,0,0,0,0,0,0,0,0,0,25
extensions,avg,0,0,0,0,0,0,0,0,0,8
extensions,min,0,0,0,0,0,0,0,0,0,8
extensions,max,0,0,0,0,0,0,0,0,0,8
util,avg,0,0,0,0,0,0,0,0,0,27
util,min,0,0,0,0,0,0,0,0,0,27
util,max,0,0,0,0,0,0,0,0,0,27
package,avg,0,0,0,0,0,0,0,0,0,23
package,min,0,0,0,0,0,0,0,0,0,23
package,max,0,0,0,0,0,0,0,0,0,23
ecore,avg,0,0,0,0,0,0,0,0,0,48
ecore,min,0,0,0,0,0,0,0,0,0,48
ecore,max,0,0,0,0,0,0,0,0,0,48
sdk,avg,0,0,0,0,0,0,0,0,0,40
sdk,min,0,0,0,0,0,0,0,0,0,40
sdk,max,0,0,0,0,0,0,0,0,0,40
sdo,avg,0,0,0,0,0,0,0,0,0,314
sdo,min,0,0,0,0,0,0,0,0,0,314
sdo,max,0,0,0,0,0,0,0,0,0,314
recorder/generator,avg,0,0,0,0,0,0,0,0,0,51
recorder/generator,min,0,0,0,0,0,0,0,0,0,51
recorder/generator,max,0,0,0,0,0,0,0,0,0,51
twitterhub,avg,0,0,0,0,0,0,0,0,0,52
twitterhub,min,0,0,0,0,0,0,0,0,0,52
twitterhub,max,0,0,0,0,0,0,0,0,0,52
compare,avg,0,0,0,0,0,0,0,0,0,1374
compare,min,0,0,0,0,0,0,0,0,0,1374
compare,max,0,0,0,0,0,0,0,0,0,1374
miscellaneous,avg,0,0,0,0,0,0,0,0,0,4
miscellaneous,min,0,0,0,0,0,0,0,0,0,4
miscellaneous,max,0,0,0,0,0,0,0,0,0,4
builder,avg,0,0,0,0,0,0,0,0,0,84
builder,min,0,0,0,0,0,0,0,0,0,84
builder,max,0,0,0,0,0,0,0,0,0,84
amfui,avg,0,0,0,0,0,0,0,0,0,38
amfui,min,0,0,0,0,0,0,0,0,0,38
amfui,max,0,0,0,0,0,0,0,0,0,38
editor&amp;outlineview,avg,0,0,0,0,0,0,0,0,0,171
editor&amp;outlineview,min,0,0,0,0,0,0,0,0,0,171
editor&amp;outlineview,max,0,0,0,0,0,0,0,0,0,171
jsp,avg,0,0,0,0,0,0,0,0,0,6
jsp,min,0,0,0,0,0,0,0,0,0,6
jsp,max,0,0,0,0,0,0,0,0,0,6
debugcore,avg,0,0,0,0,0,0,0,0,0,112
debugcore,min,0,0,0,0,0,0,0,0,0,112
debugcore,max,0,0,0,0,0,0,0,0,0,112
incubators,avg,0,0,0,0,0,0,0,0,0,168
incubators,min,0,0,0,0,0,0,0,0,0,168
incubators,max,0,0,0,0,0,0,0,0,0,168
validationruntimeextensions,avg,0,0,0,0,0,0,0,0,0,12
validationruntimeextensions,min,0,0,0,0,0,0,0,0,0,12
validationruntimeextensions,max,0,0,0,0,0,0,0,0,0,12
eis,avg,0,0,0,0,0,0,0,0,0,6
eis,min,0,0,0,0,0,0,0,0,0,6
eis,max,0,0,0,0,0,0,0,0,0,6
expressionlanguage,avg,0,0,0,0,0,0,0,0,0,7
expressionlanguage,min,0,0,0,0,0,0,0,0,0,7
expressionlanguage,max,0,0,0,0,0,0,0,0,0,7
embedder,avg,0,0,0,0,0,0,0,0,0,31
embedder,min,0,0,0,0,0,0,0,0,0,31
embedder,max,0,0,0,0,0,0,0,0,0,31
cep,avg,0,0,0,0,0,0,0,0,0,47
cep,min,0,0,0,0,0,0,0,0,0,47
cep,max,0,0,0,0,0,0,0,0,0,47
commonbuilder(retired),avg,0,0,0,0,0,0,0,0,0,2
commonbuilder(retired),min,0,0,0,0,0,0,0,0,0,2
commonbuilder(retired),max,0,0,0,0,0,0,0,0,0,2
mint,avg,0,0,0,0,0,0,0,0,0,53
mint,min,0,0,0,0,0,0,0,0,0,53
mint,max,0,0,0,0,0,0,0,0,0,53
releng/management,avg,0,0,0,0,0,0,0,0,0,15
releng/management,min,0,0,0,0,0,0,0,0,0,15
releng/management,max,0,0,0,0,0,0,0,0,0,15
search,avg,0,0,0,0,0,0,0,0,0,1866
search,min,0,0,0,0,0,0,0,0,0,1866
search,max,0,0,0,0,0,0,0,0,0,1866
clientcore,avg,0,0,0,0,0,0,0,0,0,207
clientcore,min,0,0,0,0,0,0,0,0,0,207
clientcore,max,0,0,0,0,0,0,0,0,0,207
debugger&amp;consoleview,avg,0,0,0,0,0,0,0,0,0,43
debugger&amp;consoleview,min,0,0,0,0,0,0,0,0,0,43
debugger&amp;consoleview,max,0,0,0,0,0,0,0,0,0,43
extdoc,avg,0,0,0,0,0,0,0,0,0,42
extdoc,min,0,0,0,0,0,0,0,0,0,42
extdoc,max,0,0,0,0,0,0,0,0,0,42
rcp,avg,0,0,0,0,0,0,0,0,0,107
rcp,min,0,0,0,0,0,0,0,0,0,107
rcp,max,0,0,0,0,0,0,0,0,0,107
completion,avg,0,0,0,0,0,0,0,0,0,318
completion,min,0,0,0,0,0,0,0,0,0,318
completion,max,0,0,0,0,0,0,0,0,0,318
website,avg,0,0,0,0,0,0,0,0,0,1698
website,min,0,0,0,0,0,0,0,0,0,1698
website,max,0,0,0,0,0,0,0,0,0,1698
sync,avg,0,0,0,0,0,0,0,0,0,218
sync,min,0,0,0,0,0,0,0,0,0,218
sync,max,0,0,0,0,0,0,0,0,0,218
generalui,avg,0,0,0,0,0,0,0,0,0,1270
generalui,min,0,0,0,0,0,0,0,0,0,1270
generalui,max,0,0,0,0,0,0,0,0,0,1270
aggregator,avg,0,0,0,0,0,0,0,0,0,100
aggregator,min,0,0,0,0,0,0,0,0,0,100
aggregator,max,0,0,0,0,0,0,0,0,0,100
shelled,avg,0,0,0,0,0,0,0,0,0,4
shelled,min,0,0,0,0,0,0,0,0,0,4
shelled,max,0,0,0,0,0,0,0,0,0,4
website/doc,avg,0,0,0,0,0,0,0,0,0,1
website/doc,min,0,0,0,0,0,0,0,0,0,1
website/doc,max,0,0,0,0,0,0,0,0,0,1
package,avg,0,0,0,0,0,0,0,0,0,2
package,min,0,0,0,0,0,0,0,0,0,2
package,max,0,0,0,0,0,0,0,0,0,2
collapsiblebuttons,avg,0,0,0,0,0,0,0,0,0,4
collapsiblebuttons,min,0,0,0,0,0,0,0,0,0,4
collapsiblebuttons,max,0,0,0,0,0,0,0,0,0,4
e4,avg,0,0,0,0,0,0,0,0,0,29
e4,min,0,0,0,0,0,0,0,0,0,29
e4,max,0,0,0,0,0,0,0,0,0,29
package,avg,0,0,0,0,0,0,0,0,0,21
package,min,0,0,0,0,0,0,0,0,0,21
package,max,0,0,0,0,0,0,0,0,0,21
swing,avg,0,0,0,0,0,0,0,0,0,241
swing,min,0,0,0,0,0,0,0,0,0,241
swing,max,0,0,0,0,0,0,0,0,0,241
wizard,avg,0,0,0,0,0,0,0,0,0,553
wizard,min,0,0,0,0,0,0,0,0,0,553
wizard,max,0,0,0,0,0,0,0,0,0,553
facet,avg,0,0,0,0,0,0,0,0,0,91
facet,min,0,0,0,0,0,0,0,0,0,91
facet,max,0,0,0,0,0,0,0,0,0,91
scout,avg,0,0,0,0,0,0,0,0,0,1667
scout,min,0,0,0,0,0,0,0,0,0,1667
scout,max,0,0,0,0,0,0,0,0,0,1667
visualization,avg,0,0,0,0,0,0,0,0,0,293
visualization,min,0,0,0,0,0,0,0,0,0,293
visualization,max,0,0,0,0,0,0,0,0,0,293
epfwiki,avg,0,0,0,0,0,0,0,0,0,164
epfwiki,min,0,0,0,0,0,0,0,0,0,164
epfwiki,max,0,0,0,0,0,0,0,0,0,164
gefdot,avg,0,0,0,0,0,0,0,0,0,60
gefdot,min,0,0,0,0,0,0,0,0,0,60
gefdot,max,0,0,0,0,0,0,0,0,0,60
rdt,avg,0,0,0,0,0,0,0,0,0,773
rdt,min,0,0,0,0,0,0,0,0,0,773
rdt,max,0,0,0,0,0,0,0,0,0,773
warproducts,avg,0,0,0,0,0,0,0,0,0,167
warproducts,min,0,0,0,0,0,0,0,0,0,167
warproducts,max,0,0,0,0,0,0,0,0,0,167
debugger,avg,0,0,0,0,0,0,0,0,0,1524
debugger,min,0,0,0,0,0,0,0,0,0,1524
debugger,max,0,0,0,0,0,0,0,0,0,1524
geflayout,avg,0,0,0,0,0,0,0,0,0,15
geflayout,min,0,0,0,0,0,0,0,0,0,15
geflayout,max,0,0,0,0,0,0,0,0,0,15
isp,avg,0,0,0,0,0,0,0,0,0,22
isp,min,0,0,0,0,0,0,0,0,0,22
isp,max,0,0,0,0,0,0,0,0,0,22
mpidevelopmenttools,avg,0,0,0,0,0,0,0,0,0,2
mpidevelopmenttools,min,0,0,0,0,0,0,0,0,0,2
mpidevelopmenttools,max,0,0,0,0,0,0,0,0,0,2
lttng,avg,0,0,0,0,0,0,0,0,0,119
lttng,min,0,0,0,0,0,0,0,0,0,119
lttng,max,0,0,0,0,0,0,0,0,0,119
securitymanagement,avg,0,0,0,0,0,0,0,0,0,3
securitymanagement,min,0,0,0,0,0,0,0,0,0,3
securitymanagement,max,0,0,0,0,0,0,0,0,0,3
remotetools,avg,0,0,0,0,0,0,0,0,0,199
remotetools,min,0,0,0,0,0,0,0,0,0,199
remotetools,max,0,0,0,0,0,0,0,0,0,199
oseeapplicationframework,avg,0,0,0,0,0,0,0,0,0,185
oseeapplicationframework,min,0,0,0,0,0,0,0,0,0,185
oseeapplicationframework,max,0,0,0,0,0,0,0,0,0,185
2,avg,0,0,0,0,0,0,0,0,0,5
2,min,0,0,0,0,0,0,0,0,0,5
2,max,0,0,0,0,0,0,0,0,0,5
packagecontent,avg,0,0,0,0,0,0,0,0,0,156
packagecontent,min,0,0,0,0,0,0,0,0,0,156
packagecontent,max,0,0,0,0,0,0,0,0,0,156
dsf,avg,0,0,0,0,0,0,0,0,0,1000
dsf,min,0,0,0,0,0,0,0,0,0,1000
dsf,max,0,0,0,0,0,0,0,0,0,1000
jgit,avg,0,0,0,0,0,0,0,0,0,8
jgit,min,0,0,0,0,0,0,0,0,0,8
jgit,max,0,0,0,0,0,0,0,0,0,8
db,avg,0,0,0,0,0,0,0,0,0,252
db,min,0,0,0,0,0,0,0,0,0,252
db,max,0,0,0,0,0,0,0,0,0,252
p2repositoryanalyzers,avg,0,0,0,0,0,0,0,0,0,4
p2repositoryanalyzers,min,0,0,0,0,0,0,0,0,0,4
p2repositoryanalyzers,max,0,0,0,0,0,0,0,0,0,4
workbench,avg,0,0,0,0,0,0,0,0,0,750
workbench,min,0,0,0,0,0,0,0,0,0,750
workbench,max,0,0,0,0,0,0,0,0,0,750
p2management,avg,0,0,0,0,0,0,0,0,0,110
p2management,min,0,0,0,0,0,0,0,0,0,110
p2management,max,0,0,0,0,0,0,0,0,0,110
protocols,avg,0,0,0,0,0,0,0,0,0,8
protocols,min,0,0,0,0,0,0,0,0,0,8
protocols,max,0,0,0,0,0,0,0,0,0,8
others,avg,0,0,0,0,0,0,0,0,0,899
others,min,0,0,0,0,0,0,0,0,0,899
others,max,0,0,0,0,0,0,0,0,0,899
eclipsebot,avg,0,0,0,0,0,0,0,0,0,181
eclipsebot,min,0,0,0,0,0,0,0,0,0,181
eclipsebot,max,0,0,0,0,0,0,0,0,0,181
refactoringengine,avg,0,0,0,0,0,0,0,0,0,99
refactoringengine,min,0,0,0,0,0,0,0,0,0,99
refactoringengine,max,0,0,0,0,0,0,0,0,0,99
test,avg,0,0,0,0,0,0,0,0,0,28
test,min,0,0,0,0,0,0,0,0,0,28
test,max,0,0,0,0,0,0,0,0,0,28
legacy,avg,0,0,0,0,0,0,0,0,0,39
legacy,min,0,0,0,0,0,0,0,0,0,39
legacy,max,0,0,0,0,0,0,0,0,0,39
patterns,avg,0,0,0,0,0,0,0,0,0,76
patterns,min,0,0,0,0,0,0,0,0,0,76
patterns,max,0,0,0,0,0,0,0,0,0,76
doc,avg,0,0,0,0,0,0,0,0,0,62
doc,min,0,0,0,0,0,0,0,0,0,62
doc,max,0,0,0,0,0,0,0,0,0,62
eclipsemodeler,avg,0,0,0,0,0,0,0,0,0,44
eclipsemodeler,min,0,0,0,0,0,0,0,0,0,44
eclipsemodeler,max,0,0,0,0,0,0,0,0,0,44
datashare,avg,0,0,0,0,0,0,0,0,0,10
datashare,min,0,0,0,0,0,0,0,0,0,10
datashare,max,0,0,0,0,0,0,0,0,0,10
core,avg,0,0,0,0,0,0,0,0,0,4
core,min,0,0,0,0,0,0,0,0,0,4
core,max,0,0,0,0,0,0,0,0,0,4
package,avg,0,0,0,0,0,0,0,0,0,15
package,min,0,0,0,0,0,0,0,0,0,15
package,max,0,0,0,0,0,0,0,0,0,15
tests,avg,0,0,0,0,0,0,0,0,0,25
tests,min,0,0,0,0,0,0,0,0,0,25
tests,max,0,0,0,0,0,0,0,0,0,25
parser,avg,0,0,0,0,0,0,0,0,0,2161
parser,min,0,0,0,0,0,0,0,0,0,2161
parser,max,0,0,0,0,0,0,0,0,0,2161
codan,avg,0,0,0,0,0,0,0,0,0,324
codan,min,0,0,0,0,0,0,0,0,0,324
codan,max,0,0,0,0,0,0,0,0,0,324
irms,avg,0,0,0,0,0,0,0,0,0,19
irms,min,0,0,0,0,0,0,0,0,0,19
irms,max,0,0,0,0,0,0,0,0,0,19
ace,avg,0,0,0,0,0,0,0,0,0,8
ace,min,0,0,0,0,0,0,0,0,0,8
ace,max,0,0,0,0,0,0,0,0,0,8
codegenerators,avg,0,0,0,0,0,0,0,0,0,61
codegenerators,min,0,0,0,0,0,0,0,0,0,61
codegenerators,max,0,0,0,0,0,0,0,0,0,61
sys,avg,0,0,0,0,0,0,0,0,0,7
sys,min,0,0,0,0,0,0,0,0,0,7
sys,max,0,0,0,0,0,0,0,0,0,7
ui,avg,0,0,0,0,0,0,0,0,0,41
ui,min,0,0,0,0,0,0,0,0,0,41
ui,max,0,0,0,0,0,0,0,0,0,41
gefzest,avg,0,0,0,0,0,0,0,0,0,117
gefzest,min,0,0,0,0,0,0,0,0,0,117
gefzest,max,0,0,0,0,0,0,0,0,0,117
browsertooling,avg,0,0,0,0,0,0,0,0,0,65
browsertooling,min,0,0,0,0,0,0,0,0,0,65
browsertooling,max,0,0,0,0,0,0,0,0,0,65
xsd,avg,0,0,0,0,0,0,0,0,0,6
xsd,min,0,0,0,0,0,0,0,0,0,6
xsd,max,0,0,0,0,0,0,0,0,0,6
ems,avg,0,0,0,0,0,0,0,0,0,20
ems,min,0,0,0,0,0,0,0,0,0,20
ems,max,0,0,0,0,0,0,0,0,0,20
releaseengineer,avg,0,0,0,0,0,0,0,0,0,153
releaseengineer,min,0,0,0,0,0,0,0,0,0,153
releaseengineer,max,0,0,0,0,0,0,0,0,0,153
content,avg,0,0,0,0,0,0,0,0,0,775
content,min,0,0,0,0,0,0,0,0,0,775
content,max,0,0,0,0,0,0,0,0,0,775
desktop,avg,0,0,0,0,0,0,0,0,0,38
desktop,min,0,0,0,0,0,0,0,0,0,38
desktop,max,0,0,0,0,0,0,0,0,0,38
refactoring,avg,0,0,0,0,0,0,0,0,0,9
refactoring,min,0,0,0,0,0,0,0,0,0,9
refactoring,max,0,0,0,0,0,0,0,0,0,9
keyboardlayouts,avg,0,0,0,0,0,0,0,0,0,19
keyboardlayouts,min,0,0,0,0,0,0,0,0,0,19
keyboardlayouts,max,0,0,0,0,0,0,0,0,0,19
iplogtool,avg,0,0,0,0,0,0,0,0,0,63
iplogtool,min,0,0,0,0,0,0,0,0,0,63
iplogtool,max,0,0,0,0,0,0,0,0,0,63
engine,avg,0,0,0,0,0,0,0,0,0,1429
engine,min,0,0,0,0,0,0,0,0,0,1429
engine,max,0,0,0,0,0,0,0,0,0,1429
client,avg,0,0,0,0,0,0,0,0,0,4743
client,min,0,0,0,0,0,0,0,0,0,4743
client,max,0,0,0,0,0,0,0,0,0,4743
jetty,avg,0,0,0,0,0,0,0,0,0,28
jetty,min,0,0,0,0,0,0,0,0,0,28
jetty,max,0,0,0,0,0,0,0,0,0,28
compiler,avg,0,0,0,0,0,0,0,0,0,3324
compiler,min,0,0,0,0,0,0,0,0,0,3324
compiler,max,0,0,0,0,0,0,0,0,0,3324
reporting,avg,0,0,0,0,0,0,0,0,0,25
reporting,min,0,0,0,0,0,0,0,0,0,25
reporting,max,0,0,0,0,0,0,0,0,0,25
views,avg,0,0,0,0,0,0,0,0,0,470
views,min,0,0,0,0,0,0,0,0,0,470
views,max,0,0,0,0,0,0,0,0,0,470
remoteserviceadmin,avg,0,0,0,0,0,0,0,0,0,105
remoteserviceadmin,min,0,0,0,0,0,0,0,0,0,105
remoteserviceadmin,max,0,0,0,0,0,0,0,0,0,105
misc,avg,0,0,0,0,0,0,0,0,0,102
misc,min,0,0,0,0,0,0,0,0,0,102
misc,max,0,0,0,0,0,0,0,0,0,102
projectmanagement,avg,0,0,0,0,0,0,0,0,0,20
projectmanagement,min,0,0,0,0,0,0,0,0,0,20
projectmanagement,max,0,0,0,0,0,0,0,0,0,20
crossissues,avg,0,0,0,0,0,0,0,0,0,48
crossissues,min,0,0,0,0,0,0,0,0,0,48
crossissues,max,0,0,0,0,0,0,0,0,0,48
eworkbench,avg,0,0,0,0,0,0,0,0,0,39
eworkbench,min,0,0,0,0,0,0,0,0,0,39
eworkbench,max,0,0,0,0,0,0,0,0,0,39
informationunits,avg,0,0,0,0,0,0,0,0,0,18
informationunits,min,0,0,0,0,0,0,0,0,0,18
informationunits,max,0,0,0,0,0,0,0,0,0,18
mobile,avg,0,0,0,0,0,0,0,0,0,420
mobile,min,0,0,0,0,0,0,0,0,0,420
mobile,max,0,0,0,0,0,0,0,0,0,420
monitor,avg,0,0,0,0,0,0,0,0,0,331
monitor,min,0,0,0,0,0,0,0,0,0,331
monitor,max,0,0,0,0,0,0,0,0,0,331
emfatic,avg,0,0,0,0,0,0,0,0,0,23
emfatic,min,0,0,0,0,0,0,0,0,0,23
emfatic,max,0,0,0,0,0,0,0,0,0,23
otequinox,avg,0,0,0,0,0,0,0,0,0,15
otequinox,min,0,0,0,0,0,0,0,0,0,15
otequinox,max,0,0,0,0,0,0,0,0,0,15
pgroup,avg,0,0,0,0,0,0,0,0,0,6
pgroup,min,0,0,0,0,0,0,0,0,0,6
pgroup,max,0,0,0,0,0,0,0,0,0,6
pe,avg,0,0,0,0,0,0,0,0,0,25
pe,min,0,0,0,0,0,0,0,0,0,25
pe,max,0,0,0,0,0,0,0,0,0,25
searchframework,avg,0,0,0,0,0,0,0,0,0,33
searchframework,min,0,0,0,0,0,0,0,0,0,33
searchframework,max,0,0,0,0,0,0,0,0,0,33
versionmanagement,avg,0,0,0,0,0,0,0,0,0,19
versionmanagement,min,0,0,0,0,0,0,0,0,0,19
versionmanagement,max,0,0,0,0,0,0,0,0,0,19
ajbrowser,avg,0,0,0,0,0,0,0,0,0,37
ajbrowser,min,0,0,0,0,0,0,0,0,0,37
ajbrowser,max,0,0,0,0,0,0,0,0,0,37
setup,avg,0,0,0,0,0,0,0,0,0,1336
setup,min,0,0,0,0,0,0,0,0,0,1336
setup,max,0,0,0,0,0,0,0,0,0,1336
inject,avg,0,0,0,0,0,0,0,0,0,49
inject,min,0,0,0,0,0,0,0,0,0,49
inject,max,0,0,0,0,0,0,0,0,0,49
gefbot,avg,0,0,0,0,0,0,0,0,0,22
gefbot,min,0,0,0,0,0,0,0,0,0,22
gefbot,max,0,0,0,0,0,0,0,0,0,22
debug,avg,0,0,0,0,0,0,0,0,0,2006
debug,min,0,0,0,0,0,0,0,0,0,2006
debug,max,0,0,0,0,0,0,0,0,0,2006
emfdatabinding,avg,0,0,0,0,0,0,0,0,0,5
emfdatabinding,min,0,0,0,0,0,0,0,0,0,5
emfdatabinding,max,0,0,0,0,0,0,0,0,0,5
agf,avg,0,0,0,0,0,0,0,0,0,5
agf,min,0,0,0,0,0,0,0,0,0,5
agf,max,0,0,0,0,0,0,0,0,0,5
otdt,avg,0,0,0,0,0,0,0,0,0,85
otdt,min,0,0,0,0,0,0,0,0,0,85
otdt,max,0,0,0,0,0,0,0,0,0,85
package,avg,0,0,0,0,0,0,0,0,0,3
package,min,0,0,0,0,0,0,0,0,0,3
package,max,0,0,0,0,0,0,0,0,0,3
addons,avg,0,0,0,0,0,0,0,0,0,7
addons,min,0,0,0,0,0,0,0,0,0,7
addons,max,0,0,0,0,0,0,0,0,0,7
