domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,graphiti,avg,52,187,64,40,12,93,140,12,0,598
modeling,graphiti,min,0,0,0,0,0,0,0,0,0,598
modeling,graphiti,max,413,1827,413,246,49,484,1102,49,0,598
iot,californium,avg,1,0,1,0,0,45,17,0,0,66
iot,californium,min,0,0,0,0,0,0,0,0,0,66
iot,californium,max,2,0,2,0,0,135,82,0,0,66
tools,tmw,avg,0,0,0,0,0,0,0,0,0,0
tools,tmw,min,0,0,0,0,0,0,0,0,0,0
tools,tmw,max,0,0,0,0,0,0,0,0,0,0
technology,m2e,avg,236,80,275,240,128,160,151,100,0,1604
technology,m2e,min,0,0,0,0,0,0,0,0,0,1604
technology,m2e,max,1091,324,1091,1180,594,1516,1249,594,0,1604
foundation,simultaneousrelease,avg,0,0,0,0,0,0,0,0,0,0
foundation,simultaneousrelease,min,0,0,0,0,0,0,0,0,0,0
foundation,simultaneousrelease,max,0,0,0,0,0,0,0,0,0,0
rt,vertx,avg,0,0,0,65,0,15,60,0,0,394
rt,vertx,min,0,0,0,0,0,0,0,0,0,394
rt,vertx,max,0,0,0,440,0,99,276,0,0,394
modeling,mdt.modisco,avg,45,341,45,217,228,372,310,463,0,984
modeling,mdt.modisco,min,0,0,0,0,0,0,0,0,0,984
modeling,mdt.modisco,max,369,1847,369,1318,850,2188,2246,850,0,984
technology,actf,avg,13,38,16,418,1803,50,517,10,0,1013
technology,actf,min,0,0,0,0,0,0,0,2,0,1013
technology,actf,max,31,68,31,2200,2529,229,2419,17,0,1013
modeling,acceleo,avg,186,296,186,246,311,165,216,300,0,898
modeling,acceleo,min,0,0,0,0,0,0,0,0,0,898
modeling,acceleo,max,557,1064,557,970,1743,938,1743,1743,0,898
mylyn,mylyndocsintent,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsintent,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsintent,max,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylynincubator,max,0,0,0,0,0,0,0,0,0,0
foundation,community,avg,0,0,0,0,0,0,0,0,0,0
foundation,community,min,0,0,0,0,0,0,0,0,0,0
foundation,community,max,0,0,0,0,0,0,0,0,0,0
iot,vorto,avg,3,0,6,33,120,54,61,100,0,157
iot,vorto,min,0,0,6,1,1,13,0,100,0,157
iot,vorto,max,6,0,6,118,233,139,233,100,0,157
mylyn,mylyncommons,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncommons,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncommons,max,0,0,0,0,0,0,0,0,0,0
modeling,sphinx,avg,60,48,59,57,165,30,68,0,0,463
modeling,sphinx,min,0,0,0,0,0,0,0,0,0,463
modeling,sphinx,max,300,205,300,400,587,138,546,0,0,463
technology,rtsc,avg,143,175,130,4,348,349,453,0,0,1229
technology,rtsc,min,0,0,0,0,0,0,0,0,0,1229
technology,rtsc,max,785,1705,522,7,814,1725,1932,0,0,1229
ecd,orion,avg,203,316,221,131,155,187,471,118,0,9557
ecd,orion,min,0,0,0,0,0,0,0,0,0,9557
ecd,orion,max,2068,1963,2068,1213,1201,1311,1963,231,0,9557
tools,pdt,avg,344,319,423,216,359,263,344,201,0,5440
tools,pdt,min,0,0,0,0,0,0,0,0,0,5440
tools,pdt,max,3252,1425,3252,1858,3112,2744,3712,1702,0,5440
webtools,wtpincubator,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpincubator,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpincubator,max,0,0,0,0,0,0,0,0,0,0
technology,nebula,avg,137,351,117,624,373,149,584,201,0,1118
technology,nebula,min,0,0,0,0,0,0,0,0,0,1118
technology,nebula,max,663,1296,456,2569,1216,789,2878,1216,0,1118
foundation,drupal,avg,0,0,0,0,0,0,0,0,0,0
foundation,drupal,min,0,0,0,0,0,0,0,0,0,0
foundation,drupal,max,0,0,0,0,0,0,0,0,0,0
technology,ease,avg,154,146,133,187,241,159,104,221,0,454
technology,ease,min,0,3,0,0,0,0,0,0,0,454
technology,ease,max,1034,371,759,1034,520,520,520,330,0,454
technology,tigerstripe,avg,0,214,0,38,165,305,198,1,0,1147
technology,tigerstripe,min,0,0,0,8,0,0,0,0,0,1147
technology,tigerstripe,max,0,629,0,85,857,1389,945,2,0,1147
modeling,emfstore,avg,67,123,25,112,22,33,220,21,0,528
modeling,emfstore,min,0,0,0,0,0,0,0,0,0,528
modeling,emfstore,max,364,806,50,750,52,141,1499,52,0,528
rt,riena,avg,53,476,18,69,410,125,221,16,0,998
rt,riena,min,0,0,0,0,0,0,0,0,0,998
rt,riena,max,696,2653,53,272,1053,770,985,56,0,998
technology,flux,avg,0,0,0,0,0,0,80,0,0,61
technology,flux,min,0,0,0,0,0,0,0,0,0,61
technology,flux,max,0,0,0,0,0,0,651,0,0,61
science,texlipse,avg,0,0,0,0,0,0,0,0,0,0
science,texlipse,min,0,0,0,0,0,0,0,0,0,0
science,texlipse,max,0,0,0,0,0,0,0,0,0,0
rt,yasson,avg,0,0,0,0,0,0,0,0,0,0
rt,yasson,min,0,0,0,0,0,0,0,0,0,0
rt,yasson,max,0,0,0,0,0,0,0,0,0,0
modeling,pmf,avg,0,0,0,0,0,0,13,0,0,31
modeling,pmf,min,0,0,0,0,0,0,0,0,0,31
modeling,pmf,max,0,0,0,0,0,0,30,0,0,31
webtools,dalijpatools,avg,0,0,0,0,0,0,0,0,0,0
webtools,dalijpatools,min,0,0,0,0,0,0,0,0,0,0
webtools,dalijpatools,max,0,0,0,0,0,0,0,0,0,0
iot,risev2g,avg,0,0,0,0,0,0,0,0,0,1
iot,risev2g,min,0,0,0,0,0,0,0,0,0,1
iot,risev2g,max,0,0,0,0,0,0,0,0,0,1
technology,technologytoplevel,avg,0,0,0,0,0,0,0,0,0,0
technology,technologytoplevel,min,0,0,0,0,0,0,0,0,0,0
technology,technologytoplevel,max,0,0,0,0,0,0,0,0,0,0
tools,andmore,avg,0,4,0,19,15,0,78,17,0,114
tools,andmore,min,0,4,0,0,0,0,0,0,0,114
tools,andmore,max,0,4,0,79,79,0,372,79,0,114
modeling,franca,avg,0,0,0,0,0,0,0,0,0,0
modeling,franca,min,0,0,0,0,0,0,0,0,0,0
modeling,franca,max,0,0,0,0,0,0,0,0,0,0
soa,jwt,avg,115,81,121,336,262,145,109,0,0,408
soa,jwt,min,0,0,0,0,0,0,0,0,0,408
soa,jwt,max,491,421,491,1380,797,472,797,0,0,408
tools,mat,avg,45,0,45,216,32,337,255,1,0,461
tools,mat,min,0,0,0,0,0,0,0,0,0,461
tools,mat,max,166,0,166,756,124,1484,1715,1,0,461
modeling,papyrus,avg,644,286,649,545,721,463,575,103,0,9634
modeling,papyrus,min,0,0,0,0,0,0,0,0,0,9634
modeling,papyrus,max,1969,2239,1969,2133,2276,1977,2704,564,0,9634
modeling,mdt.xsd,avg,490,681,0,83,52,39,107,52,0,404
modeling,mdt.xsd,min,490,0,0,0,0,0,0,0,0,404
modeling,mdt.xsd,max,490,1880,0,664,215,128,791,215,0,404
rt,eclipselink,avg,238,325,221,287,192,507,458,37,0,7952
rt,eclipselink,min,0,0,0,0,0,0,0,0,0,7952
rt,eclipselink,max,1932,2367,1389,1932,1932,2501,2644,186,0,7952
technology,xwt,avg,0,0,0,1034,940,36,110,1026,0,352
technology,xwt,min,0,0,0,0,0,0,0,0,0,352
technology,xwt,max,0,0,0,1478,1478,105,1144,1478,0,352
modeling,viatra,avg,59,96,79,235,930,43,282,1384,0,1037
modeling,viatra,min,0,0,0,0,0,0,0,0,0,1037
modeling,viatra,max,154,499,154,1650,1815,128,1323,1815,0,1037
tools,tracecompass.incubator,avg,0,0,0,0,0,0,0,0,0,0
tools,tracecompass.incubator,min,0,0,0,0,0,0,0,0,0,0
tools,tracecompass.incubator,max,0,0,0,0,0,0,0,0,0,0
modeling,emft.henshin,avg,0,0,0,0,6,71,17,0,0,90
modeling,emft.henshin,min,0,0,0,0,0,0,0,0,0,90
modeling,emft.henshin,max,0,0,0,0,10,213,58,0,0,90
modeling,eatop,avg,0,0,0,0,124,0,104,0,0,34
modeling,eatop,min,0,0,0,0,124,0,0,0,0,34
modeling,eatop,max,0,0,0,0,124,0,304,0,0,34
webtools,wtpwebservices,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpwebservices,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpwebservices,max,0,0,0,0,0,0,0,0,0,0
rt,smila,avg,187,198,189,118,431,157,454,0,0,216
rt,smila,min,0,0,0,0,0,0,0,0,0,216
rt,smila,max,340,406,340,340,1168,465,1828,0,0,216
modeling,emft.doc2model,avg,0,0,0,0,0,0,0,0,0,1
modeling,emft.doc2model,min,0,0,0,0,0,0,0,0,0,1
modeling,emft.doc2model,max,0,0,0,0,0,0,0,0,0,1
modeling,efm,avg,0,0,0,0,21,56,0,0,0,23
modeling,efm,min,0,0,0,0,21,56,0,0,0,23
modeling,efm,max,0,0,0,0,21,56,0,0,0,23
webtools,javaeeconfig,avg,0,0,0,0,0,0,0,0,0,0
webtools,javaeeconfig,min,0,0,0,0,0,0,0,0,0,0
webtools,javaeeconfig,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpservertools,max,0,0,0,0,0,0,0,0,0,0
technology,subversive,avg,283,207,104,165,386,96,186,155,0,2591
technology,subversive,min,0,0,0,0,0,0,0,0,0,2591
technology,subversive,max,1287,611,308,2532,2532,689,2121,2121,0,2591
rt,gemini,avg,0,0,0,0,0,0,0,0,0,5
rt,gemini,min,0,0,0,0,0,0,0,0,0,5
rt,gemini,max,0,0,0,0,0,0,0,0,0,5
webtools,wtpsourceediting,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpsourceediting,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpsourceediting,max,0,0,0,0,0,0,0,0,0,0
technology,rcptt,avg,14,22,0,100,62,71,58,124,0,254
technology,rcptt,min,0,0,0,0,0,0,0,108,0,254
technology,rcptt,max,29,73,0,209,139,421,347,139,0,254
modeling,mdt,avg,0,18,0,50,15,94,95,20,0,114
modeling,mdt,min,0,0,0,0,0,0,0,0,0,114
modeling,mdt,max,0,41,0,115,79,196,314,79,0,114
soa,soaplatform,avg,0,0,0,0,0,0,0,0,0,0
soa,soaplatform,min,0,0,0,0,0,0,0,0,0,0
soa,soaplatform,max,0,0,0,0,0,0,0,0,0,0
rt,ebr,avg,0,0,0,0,0,0,60,0,0,6
rt,ebr,min,0,0,0,0,0,0,0,0,0,6
rt,ebr,max,0,0,0,0,0,0,119,0,0,6
technology,vtp,avg,134,0,134,53,3,79,237,0,0,259
technology,vtp,min,0,0,0,0,0,0,0,0,0,259
technology,vtp,max,426,0,426,106,5,203,1183,0,0,259
rt,gyrex,avg,43,74,43,150,26,140,136,0,0,157
rt,gyrex,min,0,0,0,0,0,0,0,0,0,157
rt,gyrex,max,129,148,129,567,77,1375,829,0,0,157
modeling,amp,avg,328,982,4,104,0,814,117,0,0,171
modeling,amp,min,0,0,0,0,0,0,0,0,0,171
modeling,amp,max,1302,1869,10,526,0,1533,436,0,0,171
modeling,papyrusrt,avg,0,0,0,0,0,0,0,0,0,0
modeling,papyrusrt,min,0,0,0,0,0,0,0,0,0,0
modeling,papyrusrt,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpcommontools,max,0,0,0,0,0,0,0,0,0,0
modeling,eef,avg,10,0,10,1682,1681,158,795,1692,0,330
modeling,eef,min,0,0,0,0,7,0,0,7,0,330
modeling,eef,max,21,0,21,2381,2551,627,2335,2551,0,330
modeling,capra,avg,0,0,0,0,21,0,23,0,0,46
modeling,capra,min,0,0,0,0,0,0,0,0,0,46
modeling,capra,max,0,0,0,0,35,0,96,0,0,46
tools,titan,avg,0,0,0,1,11,0,80,0,0,183
tools,titan,min,0,0,0,0,0,0,0,0,0,183
tools,titan,max,0,0,0,1,31,0,255,0,0,183
technology,sapphire,avg,88,0,104,49,258,133,184,33,0,1189
technology,sapphire,min,0,0,0,0,0,0,0,33,0,1189
technology,sapphire,max,827,0,827,682,1503,812,1168,33,0,1189
tools,gef,avg,1060,149,1196,239,2158,268,787,130,0,2950
tools,gef,min,0,0,0,0,0,0,0,0,0,2950
tools,gef,max,2516,1045,2516,1955,4669,1306,4111,1071,0,2950
tools,oomph,avg,14,61,17,281,72,73,136,67,0,1438
tools,oomph,min,0,0,0,0,0,0,0,0,0,1438
tools,oomph,max,32,228,32,876,532,498,751,272,0,1438
rt,ecf,avg,165,222,114,154,137,353,286,32,0,1944
rt,ecf,min,0,0,0,0,0,0,0,0,0,1944
rt,ecf,max,1352,1352,1192,961,728,2414,2414,111,0,1944
technology,scanning,avg,0,0,0,0,0,0,0,0,0,0
technology,scanning,min,0,0,0,0,0,0,0,0,0,0
technology,scanning,max,0,0,0,0,0,0,0,0,0,0
technology,nebula.incubator,avg,0,0,0,0,0,0,5,0,0,1
technology,nebula.incubator,min,0,0,0,0,0,0,5,0,0,1
technology,nebula.incubator,max,0,0,0,0,0,0,5,0,0,1
foundation,z_archived,avg,0,0,0,0,0,0,0,0,0,0
foundation,z_archived,min,0,0,0,0,0,0,0,0,0,0
foundation,z_archived,max,0,0,0,0,0,0,0,0,0,0
rt,gemini.dbaccess,avg,0,0,0,294,0,0,3,0,0,19
rt,gemini.dbaccess,min,0,0,0,292,0,0,0,0,0,19
rt,gemini.dbaccess,max,0,0,0,296,0,0,6,0,0,19
science,dawnsci,avg,0,0,0,0,0,0,0,0,0,1
science,dawnsci,min,0,0,0,0,0,0,0,0,0,1
science,dawnsci,max,0,0,0,0,0,0,0,0,0,1
ecd,che,avg,0,0,0,0,0,0,0,0,0,22
ecd,che,min,0,0,0,0,0,0,0,0,0,22
ecd,che,max,0,0,0,0,0,0,0,0,0,22
iot,kapua,avg,0,0,0,0,0,0,1,0,0,1
iot,kapua,min,0,0,0,0,0,0,1,0,0,1
iot,kapua,max,0,0,0,0,0,0,1,0,0,1
iot,unide,avg,0,0,0,0,0,0,0,0,0,0
iot,unide,min,0,0,0,0,0,0,0,0,0,0
iot,unide,max,0,0,0,0,0,0,0,0,0,0
soa,ebpm,avg,0,0,0,0,0,0,0,0,0,2
soa,ebpm,min,0,0,0,0,0,0,0,0,0,2
soa,ebpm,max,0,0,0,0,0,0,0,0,0,2
tools,linuxtools,avg,0,0,0,0,0,0,0,0,0,0
tools,linuxtools,min,0,0,0,0,0,0,0,0,0,0
tools,linuxtools,max,0,0,0,0,0,0,0,0,0,0
eclipse,jdt,avg,1042,802,1168,410,662,650,1532,497,0,54535
eclipse,jdt,min,0,0,0,0,0,0,0,0,0,54535
eclipse,jdt,max,5070,4868,5070,3184,4427,4095,5076,3345,0,54535
technology,handly,avg,60,83,48,65,66,44,37,0,0,142
technology,handly,min,0,0,0,0,0,0,0,0,0,142
technology,handly,max,223,260,223,201,223,260,219,0,0,142
technology,recommenders.incubator,avg,3,3,3,50,426,3,112,426,0,225
technology,recommenders.incubator,min,0,0,0,0,0,0,0,0,0,225
technology,recommenders.incubator,max,5,5,5,277,837,5,836,837,0,225
mylyn,mylyn,avg,267,462,335,299,340,329,606,238,0,8422
mylyn,mylyn,min,0,0,0,0,0,0,0,0,0,8422
mylyn,mylyn,max,3199,3032,2302,3199,1664,2080,3429,1664,0,8422
mylyn,mylyndocs,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocs,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocs,max,0,0,0,0,0,0,0,0,0,0
iot,wakaama,avg,0,0,0,0,0,0,0,0,0,10
iot,wakaama,min,0,0,0,0,0,0,0,0,0,10
iot,wakaama,max,0,0,0,0,0,0,0,0,0,10
modeling,elk,avg,0,0,0,0,0,0,0,0,0,3
modeling,elk,min,0,0,0,0,0,0,0,0,0,3
modeling,elk,max,0,0,0,0,0,0,0,0,0,3
soa,bpel,avg,42,672,3,735,580,1024,547,10,0,376
soa,bpel,min,0,0,0,0,0,0,0,0,0,376
soa,bpel,max,61,2332,5,2332,2329,2329,2332,28,0,376
technology,egerrit,avg,1,0,1,1,1,41,71,1,0,394
technology,egerrit,min,0,0,1,0,0,0,0,0,0,394
technology,egerrit,max,1,0,1,1,1,344,228,1,0,394
iot,iofog,avg,0,0,0,0,0,0,0,0,0,0
iot,iofog,min,0,0,0,0,0,0,0,0,0,0
iot,iofog,max,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,avg,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,min,0,0,0,0,0,0,0,0,0,0
modeling,gmftooling,max,0,0,0,0,0,0,0,0,0,0
technology,jnosql,avg,0,0,0,0,0,0,0,0,0,0
technology,jnosql,min,0,0,0,0,0,0,0,0,0,0
technology,jnosql,max,0,0,0,0,0,0,0,0,0,0
datatools,datatools,avg,0,0,0,0,0,0,0,0,0,0
datatools,datatools,min,0,0,0,0,0,0,0,0,0,0
datatools,datatools,max,0,0,0,0,0,0,0,0,0,0
rt,equinox,avg,362,206,448,369,528,392,602,459,0,13046
rt,equinox,min,0,0,0,0,0,0,0,0,0,13046
rt,equinox,max,2592,1784,2592,4100,4100,2500,4100,4100,0,13046
tools,thym,avg,3,0,3,175,257,211,110,257,0,130
tools,thym,min,0,0,0,0,0,0,0,0,0,130
tools,thym,max,6,0,6,514,514,564,514,514,0,130
tools,mtj,avg,67,81,63,71,81,71,151,157,0,744
tools,mtj,min,0,0,0,0,0,0,0,0,0,744
tools,mtj,max,678,412,678,280,677,405,1110,470,0,744
mylyn,mylyncontextmft,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontextmft,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontextmft,max,0,0,0,0,0,0,0,0,0,0
modeling,edapt,avg,0,383,0,472,428,441,309,203,0,125
modeling,edapt,min,0,0,0,0,0,0,0,0,0,125
modeling,edapt,max,0,1214,0,1011,1310,1065,1367,600,0,125
iot,hawkbit,avg,0,0,0,0,0,0,0,0,0,0
iot,hawkbit,min,0,0,0,0,0,0,0,0,0,0
iot,hawkbit,max,0,0,0,0,0,0,0,0,0,0
modeling,fmc,avg,0,0,0,0,0,0,0,0,0,9
modeling,fmc,min,0,0,0,0,0,0,0,0,0,9
modeling,fmc,max,0,0,0,0,0,0,0,0,0,9
modeling,amalgam,avg,0,0,0,71,98,45,105,55,0,124
modeling,amalgam,min,0,0,0,0,0,0,0,0,0,124
modeling,amalgam,max,0,0,0,284,446,176,446,284,0,124
iot,ponte,avg,0,0,0,0,0,0,0,0,0,4
iot,ponte,min,0,0,0,0,0,0,0,0,0,4
iot,ponte,max,0,0,0,0,0,0,0,0,0,4
iot,tinydtls,avg,0,12,0,0,0,0,54,0,0,7
iot,tinydtls,min,0,12,0,0,0,0,54,0,0,7
iot,tinydtls,max,0,12,0,0,0,0,54,0,0,7
tools,ajdt,avg,277,636,37,137,125,237,310,110,0,1465
tools,ajdt,min,0,0,0,0,0,0,0,0,0,1465
tools,ajdt,max,524,2405,74,1376,1376,1069,2086,1376,0,1465
mylyn,mylyncontext,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontext,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyncontext,max,0,0,0,0,0,0,0,0,0,0
technology,ogee,avg,0,0,0,50,0,179,7,0,0,33
technology,ogee,min,0,0,0,0,0,0,0,0,0,33
technology,ogee,max,0,0,0,191,0,358,20,0,0,33
tools,buildship,avg,195,35,209,44,23,176,79,23,0,390
tools,buildship,min,0,6,0,0,0,0,0,0,0,390
tools,buildship,max,490,53,490,100,67,490,470,67,0,390
iot,kura,avg,0,0,0,0,0,22,16,0,0,46
iot,kura,min,0,0,0,0,0,0,1,0,0,46
iot,kura,max,0,0,0,0,0,43,44,0,0,46
modeling,mmt.atl,avg,50,0,0,64,185,234,179,12,0,271
modeling,mmt.atl,min,16,0,0,0,0,0,0,0,0,271
modeling,mmt.atl,max,87,0,0,161,877,729,768,23,0,271
modeling,sirius,avg,106,145,104,36,84,238,198,35,0,1595
modeling,sirius,min,0,0,0,0,0,0,0,0,0,1595
modeling,sirius,max,737,548,737,200,846,1004,1052,98,0,1595
technology,packagedrone,avg,0,0,0,0,0,0,0,0,0,0
technology,packagedrone,min,0,0,0,0,0,0,0,0,0,0
technology,packagedrone,max,0,0,0,0,0,0,0,0,0,0
technology,hudson,avg,483,119,189,109,258,163,173,536,0,1423
technology,hudson,min,0,0,0,0,0,0,0,0,0,1423
technology,hudson,max,1013,305,742,553,1626,917,824,1626,0,1423
mylyn,mylynbuilds,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylynbuilds,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylynbuilds,max,0,0,0,0,0,0,0,0,0,0
science,chemclipse,avg,0,0,17,0,0,0,0,0,0,22
science,chemclipse,min,0,0,17,0,0,0,0,0,0,22
science,chemclipse,max,0,0,17,0,0,0,0,0,0,22
technology,camf,avg,0,0,0,0,0,0,0,0,0,12
technology,camf,min,0,0,0,0,0,0,0,0,0,12
technology,camf,max,0,0,0,0,0,0,0,0,0,12
modeling,gmfnotation,avg,0,0,0,0,0,0,0,0,0,0
modeling,gmfnotation,min,0,0,0,0,0,0,0,0,0,0
modeling,gmfnotation,max,0,0,0,0,0,0,0,0,0,0
tools,xtend,avg,136,230,153,156,187,182,277,113,0,2297
tools,xtend,min,0,7,0,0,0,0,0,0,0,2297
tools,xtend,max,1001,541,1001,1407,1001,911,1975,566,0,2297
technology,stem,avg,310,223,323,0,507,90,440,1,0,437
technology,stem,min,0,0,0,0,0,0,0,0,0,437
technology,stem,max,981,1061,981,0,999,419,1348,3,0,437
tools,targetmanagement,avg,0,0,0,0,0,0,0,0,0,0
tools,targetmanagement,min,0,0,0,0,0,0,0,0,0,0
tools,targetmanagement,max,0,0,0,0,0,0,0,0,0,0
technology,woolsey,avg,0,161,0,0,419,0,520,520,0,50
technology,woolsey,min,0,0,0,0,218,0,493,493,0,50
technology,woolsey,max,0,419,0,0,546,0,546,546,0,50
tools,tcf,avg,47,10,16,561,604,26,142,653,0,1144
tools,tcf,min,0,0,0,0,0,0,0,0,0,1144
tools,tcf,max,328,41,84,1169,1271,88,978,1271,0,1144
modeling,emft.facet,avg,46,319,46,100,340,107,278,151,0,828
modeling,emft.facet,min,0,0,0,0,0,0,0,0,0,828
modeling,emft.facet,max,637,1521,637,946,1461,442,1521,724,0,828
webtools,wtpreleng,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpreleng,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpreleng,max,0,0,0,0,0,0,0,0,0,0
iot,paho,avg,71,0,71,8,70,15,111,0,0,143
iot,paho,min,0,0,0,0,2,0,0,0,0,143
iot,paho,max,206,0,206,16,219,29,421,0,0,143
technology,sw360,avg,0,0,0,0,0,0,0,0,0,0
technology,sw360,min,0,0,0,0,0,0,0,0,0,0
technology,sw360,max,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,avg,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,min,0,0,0,0,0,0,0,0,0,0
webtools,wtpejbtools,max,0,0,0,0,0,0,0,0,0,0
modeling,etrice,avg,0,251,0,54,14,553,169,0,0,541
modeling,etrice,min,0,0,0,0,0,0,0,0,0,541
modeling,etrice,max,0,501,0,273,33,1588,1067,0,0,541
mylyn,mylyndocsvex,avg,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,min,0,0,0,0,0,0,0,0,0,0
mylyn,mylyndocsvex,max,0,0,0,0,0,0,0,0,0,0
iot,mihini,avg,0,58,0,0,0,22,32,0,0,121
iot,mihini,min,0,0,0,0,0,0,0,0,0,121
iot,mihini,max,0,173,0,0,0,63,135,0,0,121
technology,collections,avg,0,0,0,0,0,0,0,0,0,0
technology,collections,min,0,0,0,0,0,0,0,0,0,0
technology,collections,max,0,0,0,0,0,0,0,0,0,0
technology,cbi,avg,18,286,12,307,1313,194,833,1487,0,613
technology,cbi,min,0,0,0,0,0,0,0,0,0,613
technology,cbi,max,74,2283,48,2310,3598,693,3598,3598,0,613
ecd,cft,avg,0,0,0,0,3,0,57,3,0,131
ecd,cft,min,0,0,0,0,3,0,0,3,0,131
ecd,cft,max,0,0,0,0,3,0,215,3,0,131
modeling,gmp,avg,119,14,0,49,60,35,162,17,0,245
modeling,gmp,min,1,0,0,0,0,0,0,0,0,245
